Tissue,Cell_Type,Kras_mean_all,Kras_mean_male,Kras_mean_female,Cell_count_all,Cell_count_male,Cell_count_female
Marrow,pre-natural killer cell,1.0810720920562744,0.9861277937889099,1.2845242023468018,22,15.0,7.0
Marrow,B cell,0.821709930896759,0.7151585221290588,1.027709722518921,44,29.0,15.0
Marrow,megakaryocyte-erythroid progenitor cell,0.8147743344306946,0.8029630780220032,0.8841661214828491,55,47.0,8.0
Marrow,Slamf1-positive multipotent progenitor cell,0.46879294514656067,0.46873629093170166,0.4706345796585083,134,130.0,4.0
Marrow,granulocyte monocyte progenitor cell,0.4600445330142975,0.5912482142448425,0.3326995372772217,134,66.0,68.0
Marrow,immature natural killer cell,1.1084375381469727,1.278998613357544,0.9558299779891968,36,17.0,19.0
Marrow,macrophage,0.4698038399219513,0.43777745962142944,0.5116516947746277,173,98.0,75.0
Marrow,immature T cell,0.6765255928039551,0.6280711889266968,1.1126152276992798,60,54.0,6.0
Marrow,granulocyte,0.7215145230293274,0.7349148988723755,0.6865846514701843,761,550.0,211.0
Marrow,granulocytopoietic cell,0.6880066990852356,0.7412751317024231,0.404922753572464,221,186.0,35.0
Marrow,Slamf1-negative multipotent progenitor cell,0.534946858882904,0.5382147431373596,0.5319508910179138,713,341.0,372.0
Marrow,mature natural killer cell,0.8128529191017151,0.9223213195800781,0.3263270854949951,49,40.0,9.0
Marrow,hematopoietic precursor cell,0.5720256567001343,0.5759223699569702,0.3177490830421448,265,261.0,4.0
Marrow,immature B cell,0.6412731409072876,0.5251694321632385,0.8472639322280884,344,220.0,124.0
Marrow,immature NK T cell,0.44742119312286377,0.19724200665950775,0.7114992737770081,37,19.0,18.0
Pancreas,pancreatic D cell,0.8633393049240112,0.8530688285827637,0.8843267560005188,140,94.0,46.0
Pancreas,pancreatic acinar cell,0.03200197592377663,0.02183726616203785,0.041310712695121765,182,87.0,95.0
Pancreas,pancreatic stellate cell,0.48133957386016846,0.45501959323883057,0.5624931454658508,49,37.0,12.0
Pancreas,pancreatic ductal cell,0.2102634310722351,0.22042524814605713,0.191210076212883,161,105.0,56.0
Pancreas,pancreatic A cell,0.8837409615516663,0.8926849961280823,0.8738300204277039,390,205.0,185.0
Pancreas,pancreatic PP cell,0.6102917790412903,0.4840697646141052,0.7720138430595398,73,41.0,32.0
Pancreas,type B pancreatic cell,1.0587444305419922,0.9797853827476501,1.1161412000656128,449,189.0,260.0
Pancreas,endothelial cell,0.9709120988845825,1.0802961587905884,0.6556282043457031,66,49.0,17.0
Pancreas,leukocyte,0.47966131567955017,0.46703413128852844,0.5096511244773865,54,38.0,16.0
Skin,leukocyte,0.7114931344985962,0.6140720248222351,1.3447307348251343,15,13.0,2.0
Skin,stem cell of epidermis,0.5152299404144287,0.4870773255825043,0.6018532514572144,53,40.0,13.0
Skin,keratinocyte stem cell,0.506174623966217,0.500802218914032,0.5204972624778748,1404,1021.0,383.0
Skin,epidermal cell,0.4478778541088104,0.432838499546051,0.4789589047431946,276,186.0,90.0
Skin,basal cell of epidermis,0.490807443857193,0.46053817868232727,0.5423234105110168,562,354.0,208.0
Spleen,B cell,1.0787538290023804,0.991339385509491,1.2335981130599976,1297,829.0,468.0
Spleen,T cell,0.8881353139877319,0.9016919136047363,0.8673620820045471,352,213.0,139.0
Spleen,macrophage,1.233744740486145,1.4813334941864014,0.7385669350624084,48,32.0,16.0
Thymus,DN1 thymic pro-T cell,0.43801209330558777,0.24178993701934814,0.48329418897628784,32,6.0,26.0
Thymus,leukocyte,0.5116349458694458,0.1238468587398529,0.7204441428184509,40,14.0,26.0
Thymus,immature T cell,1.2515558004379272,1.4996634721755981,0.9828048348426819,1277,664.0,613.0
Tongue,basal cell of epidermis,0.6587650179862976,0.6537202596664429,0.670734167098999,1086,764.0,322.0
Tongue,keratinocyte,0.624977171421051,0.6644315123558044,0.5016824007034302,330,250.0,80.0
Trachea,blood cell,1.4218308925628662,1.3040581941604614,1.5396029949188232,206,103.0,103.0
Trachea,endothelial cell,1.3638132810592651,1.265668272972107,1.8493709564208984,113,94.0,19.0
Trachea,epithelial cell,0.7262638807296753,0.6228266358375549,0.867425262928009,201,116.0,85.0
Trachea,mesenchymal cell,0.7537097930908203,0.7292081117630005,0.783438503742218,830,455.0,375.0
